"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"620","Union Bank Of India","UNIONBANK","P&F | F.A","-2%","127.08","72,94,262"
"625","Servotech Power Systems Ltd","SERVOTECH","P&F | F.A","-2.01%","122.09","2,80,318"
"35","Ajmera Realty & Infra India Limited","AJMERA","P&F | F.A","-2.02%","878.3","35,330"
"79","Pnb Housing Finance Limited","PNBHOUSING","P&F | F.A","-2.02%","767.05","28,16,413"
"242","Max Estates Ltd","MAXESTATES","P&F | F.A","-2.03%","449.2","78,312"
"330","Firstsource Solutions Limited","FSL","P&F | F.A","-2.03%","346.75","6,08,096"
"339","Indus Towers Ltd (Bharti Infratel)","INDUSTOWER","P&F | F.A","-2.03%","335.6","70,73,376"
"8","Datamatics Global Services Limited","DATAMATICS","P&F | F.A","-2.04%","977.85","1,82,816"
"337","Railtel Corporation of India Ltd","RAILTEL","P&F | F.A","-2.05%","336.3","6,54,732"
"136","Raymond Limited","RAYMOND","P&F | F.A","-2.06%","606.05","2,46,463"
"445","S H Kelkar And Company Limited","SHK","P&F | F.A","-2.06%","235.7","9,73,521"
"527","Bharat Wire Ropes Limited","BHARATWIRE","P&F | F.A","-2.06%","173.51","83,924"
"758","Dcw Limited","DCW","P&F | F.A","-2.07%","73.31","5,47,444"
"271","Taj Gvk Hotels & Resorts Limited","TAJGVK","P&F | F.A","-2.09%","413.6","1,44,151"
"283","Oil India Limited","OIL","P&F | F.A","-2.11%","390.5","20,49,222"
"485","Orient Electric Ltd","ORIENTELEC","P&F | F.A","-2.11%","208.01","9,30,292"
"40","Life Insurance Corporation of India","LICI","P&F | F.A","-2.12%","869.5","9,03,333"
"199","Varun Beverages Limited","VBL","P&F | F.A","-2.13%","497.7","53,19,711"
"231","Hpl Electric & Power Limited","HPL","P&F | F.A","-2.13%","461.5","1,99,809"
"709","Idbi Bank Limited","IDBI","P&F | F.A","-2.13%","89.91","64,21,152"
"394","Ecos (India) Mobility & Hospitality Ltd","ECOSMOBLTY","P&F | F.A","-2.14%","279","39,495"
"89","AU Small Finance Bank","AUBANK","P&F | F.A","-2.15%","729.25","14,67,576"
"580","GPT Healthcare Ltd","GPTHEALTH","P&F | F.A","-2.15%","148.01","1,85,726"
"371","IIFL Capital Services Ltd","IIFLCAPS","P&F | F.A","-2.16%","301.6","3,64,462"
"613","Satin Creditcare Network Limited","SATIN","P&F | F.A","-2.16%","134","2,31,847"
"635","Indian Railway Finance Corporation Ltd","IRFC","P&F | F.A","-2.16%","118.58","1,03,01,130"
"261","Ion Exchange (India) Ltd","IONEXCHANG","P&F | F.A","-2.18%","422.5","1,81,111"
"291","Man Industries (india) Limited","MANINDS","P&F | F.A","-2.18%","382.25","1,71,045"
"591","Indian Renewable Energy Development Agency Ltd","IREDA","P&F | F.A","-2.18%","141.03","70,14,954"
"32","Motilal Oswal Financial Services Limited","MOTILALOFS","P&F | F.A","-2.19%","889","5,56,768"
"83","Supreme Petrochem Ltd","SPLPETRO","P&F | F.A","-2.19%","751.3","26,766"
"538","Marksans Pharma Limited","MARKSANS","P&F | F.A","-2.19%","169.47","9,12,531"
"55","Anthem Biosciences Ltd","ANTHEM","P&F | F.A","-2.2%","817.5","6,84,187"
"33","KRN Heat Exchanger and Refrigeration Ltd","KRN","P&F | F.A","-2.22%","887.2","4,49,904"
"264","Swiggy Ltd","SWIGGY","P&F | F.A","-2.22%","421","91,01,947"
"48","Strides Shasun Limited","STAR","P&F | F.A","-2.24%","841","2,48,449"
"78","Adani Energy Solutions Ltd","ADANIENSOL","P&F | F.A","-2.24%","770.95","8,91,046"
"298","Epack Durable Ltd","EPACK","P&F | F.A","-2.25%","375.7","3,53,834"
"336","International Gemmological Institute (India) Ltd","IGIL","P&F | F.A","-2.25%","337.35","4,20,513"
"268","Cyient DLM Ltd","CYIENTDLM","P&F | F.A","-2.28%","418.55","2,12,577"
"329","Mangalore Chemicals & Fertilizers Limited","MANGCHEFER","P&F | F.A","-2.28%","347.95","3,68,695"
"76","Hexaware Technologies Ltd","HEXT","P&F | F.A","-2.29%","775.8","6,01,559"
"312","Refex Industries Limited","REFEX","P&F | F.A","-2.31%","361.7","1,39,588"
"502","Kcp Limited","KCP","P&F | F.A","-2.31%","196.54","2,23,972"
"682","Om Infra Ltd","OMINFRAL","P&F | F.A","-2.31%","102.22","1,08,477"
"107","Senores Pharmaceuticals Ltd","SENORES","P&F | F.A","-2.32%","690.85","2,95,255"
"719","Xchanging Solutions Limited","XCHANGING","P&F | F.A","-2.32%","86.83","75,328"
"137","Jbm Auto Limited","JBMA","P&F | F.A","-2.33%","603.7","2,57,372"
