symbol,exchange,quantity,type
HFCL,NSE,143,MIS
SKYGOLD,NSE,34,MIS
VRLLOG,NSE,37,MIS
KPIGREEN,NSE,21,MIS
HINDWAREAP,NSE,32,MIS
SNOWMAN,NSE,197,MIS
JSWENERGY,NSE,20,MIS
BHAGCHEM,NSE,38,MIS
ITDCEM,NSE,14,MIS
SYNGENE,NSE,16,MIS
BLUEJET,NSE,15,MIS
MAHEPC,NSE,61,MIS
MIDHANI,NSE,27,MIS
JWL,NSE,31,MIS
JYOTICNC,NSE,11,MIS
JGCHEM,NSE,22,MIS
SJVN,NSE,104,MIS
REPCOHOME,NSE,29,MIS
CHEMCON,NSE,48,MIS
IIFL,NSE,23,MIS
THELEELA,NSE,25,MIS
RAIN,NSE,73,MIS
SFL,NSE,14,MIS
RGL,NSE,92,MIS
EPL,NSE,45,MIS
ZENSARTECH,NSE,13,MIS
NAM-INDIA,NSE,13,MIS
TITAGARH,NSE,12,MIS
SHARDACROP,NSE,11,MIS
GPPL,NSE,66,MIS
APTUS,NSE,31,MIS
SBCL,NSE,20,MIS
SIGNPOST,NSE,36,MIS
GALLANTT,NSE,17,MIS
VERANDA,NSE,45,MIS
DIACABS,NSE,72,MIS
ABLBL,NSE,75,MIS
NLCINDIA,NSE,44,MIS
INOXWIND,NSE,73,MIS
SUVEN,NSE,47,MIS
VINCOFE,NSE,68,MIS
RSYSTEMS,NSE,22,MIS
DREAMFOLKS,NSE,73,MIS
SHYAMMETL,NSE,11,MIS
HLEGLAS,NSE,20,MIS
NORTHARC,NSE,42,MIS
SHRIRAMFIN,NSE,17,MIS
DMCC,NSE,32,MIS
JKIL,NSE,16,MIS
WCIL,NSE,81,MIS
STLTECH,NSE,83,MIS
AARVI,NSE,86,MIS
BLACKBUCK,NSE,16,MIS
EMAMIPAP,NSE,96,MIS
TARACHAND,NSE,143,MIS
SPIC,NSE,96,MIS
GARUDA,NSE,51,MIS
FACT,NSE,11,MIS
SHANKARA,NSE,11,MIS
OMAXE,NSE,119,MIS
PROSTARM,NSE,53,MIS
TOLINS,NSE,66,MIS
AGARWALEYE,NSE,23,MIS
CSBBANK,NSE,27,MIS
MEDIASSIST,NSE,19,MIS
SANGHVIMOV,NSE,30,MIS
NELCAST,NSE,66,MIS
CESC,NSE,65,MIS
BESTAGRO,NSE,28,MIS
MEGASOFT,NSE,72,MIS
EBGNG,NSE,30,MIS
QUADFUTURE,NSE,26,MIS
SURAJEST,NSE,33,MIS
CAMLINFINE,NSE,48,MIS
KITEX,NSE,59,MIS
BGRENERGY,NSE,61,MIS
NITCO,NSE,86,MIS
POONAWALLA,NSE,23,MIS
APEX,NSE,46,MIS
KROSS,NSE,52,MIS
SAILIFE,NSE,12,MIS
PAKKA,NSE,67,MIS
FIRSTCRY,NSE,28,MIS
ABFRL,NSE,128,MIS
INDOFARM,NSE,46,MIS
VPRPL,NSE,72,MIS
BIGBLOC,NSE,182,MIS
IFGLEXPOR,NSE,41,MIS
KALAMANDIR,NSE,57,MIS
RALLIS,NSE,29,MIS
ATGL,NSE,17,MIS
